Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
The Dirty Picture,2011,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil
Kurbani,1943,-,6.6,5,-,hindi
Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,-,-,-,Documentary            ,nepali
Lawaris: Karachi's Unknown Dead,2019,-,-,-,"Documentary, Short            ",urdu
Rakhewal,2019,130 min,-,-,Drama            ,gujarati
Kanasu Maratakkide,2021,132 min,-,-,Drama            ,kannada
Pati Patni Aur Tawaif,1990,-,4.3,40,"Drama, Family            ",hindi
777 Charlie,,136 min,-,-,"Adventure, Comedy, Drama            ",tamil
Dholo Mara Malak No,1998,-,-,-,Drama            ,gujarati
Pambaram,1979,-,-,-,-,malayalam
Raj Shahenshah,,122 min,-,-,Drama            ,bhojpuri
Love You Dhaka,,-,-,-,Drama            ,bengali
The Last Color,2019,90 min,7.7,740,Drama            ,hindi
Aji Bas Shukriya,1958,-,6.2,10,"Comedy, Drama, Musical            ",hindi
Avatar Purusha,,-,-,-,Comedy            ,kannada
Delhi Durbar,1956,-,-,-,-,hindi
Bhartruhari,1932,-,-,-,Fantasy            ,hindi
Teer,1954,-,-,-,Drama            ,hindi
Eppothum Vendran,2014,138 min,-,-,Drama            ,tamil
Rubik's Cube,,134 min,-,-,Drama            ,marathi
Prem Paigham,1989,-,-,-,Romance            ,hindi
Smuggler,1996,-,4.4,17,"Action, Crime            ",hindi
Sheikh Chilli,1958,-,-,-,Comedy            ,punjabi
Sasi Lalitha,2020,-,-,-,Drama            ,telugu
Om Shri Satya Sai Baba,2021,-,-,-,Biography            ,hindi
Khooni Insaan,1988,-,4,7,Thriller            ,hindi
Ilamai Kaalangal,1983,120 min,5.7,9,-,tamil
Lalu Bhulu,1959,-,7,6,Drama            ,bengali
Rakkhushi,2006,134 min,6.5,10,Drama            ,bengali
Geet Ganga,1982,138 min,-,-,Drama            ,hindi
Bachke Rahna,1949,-,-,-,"Action, Comedy            ",hindi
Viswasam Athalle Ellam,2015,159 min,4.9,30,"Comedy, Drama            ",malayalam
Stop!,2004,-,4.5,31,"Comedy, Romance            ",hindi
Post Man,1967,-,-,-,-,malayalam
Sannyasi Deshonayok,2020,-,-,-,Drama            ,bengali
Local Utpaat,2020,-,-,-,"Action, Comedy            ",assamese
Niraparadhi,1951,182 min,-,-,-,tamil
Avaghachi Sansar,1960,-,-,-,Comedy            ,marathi
Vicar Ka Achar Open Your Mind Before Your Mouth,2018,90 min,-,-,-,hindi
Neerja,2016,122 min,7.7,"21,192","Biography, Drama, Thriller            ",hindi
OK Kanmani,2015,139 min,7.4,"5,030",Romance            ,tamil
Meen Kuzhambum Mann Paanaiyum,2016,136 min,5.4,98,"Comedy, Fantasy            ",tamil
Nandini,1969,-,-,-,Drama            ,marathi
Begunah,1970,-,-,-,Action            ,hindi
Ishara,1943,-,-,-,-,hindi
Vakratunda Mahakaaya,2013,92 min,6.9,75,Comedy            ,marathi
Kaise Tumse Kahoon,2015– ,-,-,-,-,urdu
Idhey Naa Savaal,1984,-,6.2,8,-,telugu
Intiguttu,1958,140 min,7.2,5,"Drama, Family            ",telugu
Naag Mani,1957,-,6.5,6,"Adventure, Fantasy            ",hindi
Ghanchakkar,1990,-,7.3,15,Comedy            ,marathi
Uladhaal,2008,130 min,6,49,"Drama, Thriller            ",marathi
Barkha,1953,-,-,-,-,urdu
Doctor X,1972,-,-,-,Thriller            ,hindi
Qaid-e-Tanhai,2010– ,-,8.2,103,Drama            ,urdu
Gullu Dada Returns: No Compromise.. Only Fight...!,2010 Video,-,7.5,50,"Comedy, Crime, Drama            ",oriya
Arshinagar,2015,134 min,4.5,198,"Drama, Musical, Romance            ",bengali
Susral Chalo,1983,-,-,-,-,punjabi
Na Ghar Ke Na Ghaat Ke,2010,-,6.1,269,"Comedy, Drama            ",hindi
Therottam,2019,117 min,-,-,"Action, Thriller            ",malayalam
Shaadi Aur Barbadi,1991,-,-,-,Comedy            ,hindi
SHUDRA: The Untouchables,2011,116 min,7.8,23,"Drama, Family, History            ",hindi
Mazaa Mazaa,2005,99 min,2.8,57,Romance            ,hindi
Har Din Pyar Ke Din,1990,-,-,-,Thriller            ,hindi
Chor Na Bhai Ghanti Chor,2016,136 min,-,-,Drama            ,gujarati
Ek Gadi Baaki Anadi,1988,135 min,7.7,15,Comedy            ,marathi
Army,1996,153 min,4.3,"1,591","Action, Drama            ",hindi
Rebecca,1963,-,-,-,-,malayalam
Mera Suhag,1987,138 min,-,-,"Drama, Family            ",hindi
Kamsale Kaisale,2012,90 min,-,-,Drama            ,kannada
Bottu Katuka,1979,136 min,-,-,Drama            ,telugu
Atmatyag,2012,-,-,-,Drama            ,bengali
Manju,1983,-,7.6,5,Drama            ,malayalam
Thakur Jarnail Singh,1966,-,5,9,Action            ,hindi
Premleela,2015,-,-,-,"Action, Romance            ",bhojpuri
Marunnattil Oru Malayali,1971,-,5.7,7,-,malayalam
Munnudi,2000,108 min,6.6,12,Family            ,kannada
Halli Mestru,1992,162 min,6.9,56,"Comedy, Drama            ",kannada
Licence,1976,-,-,-,Drama            ,punjabi
Kitty Party,2019,134 min,3.8,5,"Action, Comedy            ",punjabi
Ajnabi Lage Zindagi,2019,-,-,-,Drama            ,urdu
Sangarshana,1983,-,7.1,25,"Action, Drama, Family            ",telugu
Cool Boys Hot Girls,2012,125 min,-,-,Comedy            ,telugu
Jeethu,2013,-,-,-,Drama            ,kannada
Once Upon a Time in Mumbaai Dobara,2013,160 min,4.6,"6,698","Action, Crime, Drama            ",hindi
Akaash Ganga,1990,-,-,-,Action            ,hindi
Srinkhal,1947,-,-,-,-,bengali
